"topic","weight","doc"
17,0.8091,26148
17,0.7895,11976
17,0.7877,10021
17,0.7789,40392
17,0.7745,35891
17,0.7667,19115
17,0.7593,19241
17,0.756,16704
17,0.756,25118
17,0.7546,17390
17,0.7476,34396
17,0.7456,13517
17,0.7421,18599
17,0.742,14079
17,0.7412,17347
17,0.7412,29082
17,0.7381,15010
17,0.737,10865
17,0.7363,22560
17,0.7346,19748
17,0.7323,10683
17,0.7235,34946
17,0.7222,37302
17,0.7197,13148
17,0.7159,33754
17,0.7083,17355
17,0.6996,32433
17,0.6987,16050
17,0.6981,17348
17,0.6979,37781
17,0.6973,19063
17,0.6954,13999
17,0.6944,31499
17,0.6944,31363
17,0.693,12343
17,0.693,25014
17,0.693,32781
17,0.6927,33593
17,0.6927,8775
17,0.6924,29409
17,0.6919,15803
17,0.6894,25535
17,0.6883,28047
17,0.6867,17911
17,0.6867,25473
17,0.6843,35198
17,0.6828,19911
17,0.6802,8326
18,0.8758,25371
18,0.8728,21608
18,0.8711,10461
18,0.8455,28420
18,0.8233,26027
18,0.821,29998
18,0.8202,20666
18,0.8177,20095
18,0.8146,38568
18,0.8121,10330
18,0.8118,31296
18,0.8102,20724
18,0.8099,10155
18,0.808,33898
18,0.8067,11930
18,0.806,32610
18,0.8048,23751
18,0.7996,22917
18,0.799,16627
18,0.7989,25791
18,0.7929,38588
18,0.7899,13478
18,0.7866,22267
18,0.7865,24572
18,0.7862,32791
18,0.7848,35561
18,0.7842,15007
18,0.7833,23241
18,0.7824,19961
18,0.7824,21957
18,0.7796,34109
18,0.7784,38198
18,0.7763,15099
18,0.7762,11362
18,0.7756,33715
18,0.7739,15295
18,0.7735,13627
18,0.7718,20916
18,0.7713,22789
18,0.7698,17423
18,0.7698,19380
18,0.7696,20035
18,0.7695,2799
18,0.7683,29866
18,0.7682,32252
18,0.7667,34735
18,0.7622,28574
18,0.7585,11980
18,0.7569,36038
18,0.7552,12367
19,0.8202,15909
19,0.8141,33057
19,0.7989,33935
19,0.7986,16513
19,0.7946,40141
19,0.7899,14036
19,0.7883,17188
19,0.7883,35259
19,0.7872,34954
19,0.7861,12694
19,0.784,31348
19,0.7831,29189
19,0.7824,36912
19,0.7803,18363
19,0.7792,28536
19,0.7762,15471
19,0.7756,19096
19,0.7637,17875
19,0.7626,35818
19,0.7593,23612
19,0.7552,18603
19,0.7525,29699
19,0.7476,22650
19,0.7464,20888
19,0.7456,9297
19,0.7389,18780
19,0.7358,22831
19,0.7352,40442
19,0.7351,29479
19,0.7348,19368
19,0.7342,29752
19,0.7326,39178
19,0.7305,37897
19,0.7303,26826
19,0.7271,37694
19,0.7267,25863
19,0.7267,28441
19,0.7259,12714
19,0.724,12339
19,0.724,22361
19,0.724,24301
19,0.7222,38166
19,0.7222,30640
19,0.7222,16238
19,0.7222,30216
19,0.7202,16989
19,0.7202,23528
19,0.719,14781
19,0.7189,40449
19,0.7177,14851
20,0.8481,11558
20,0.8259,8489
20,0.7615,2260
20,0.7482,2881
20,0.7389,24885
20,0.7348,13356
20,0.7342,27486
20,0.7189,8509
20,0.7157,1402
20,0.7108,19249
20,0.7103,10008
20,0.7068,40349
20,0.7058,4782
20,0.702,24267
20,0.6954,6951
20,0.6894,25650
20,0.6856,22930
20,0.6802,26278
20,0.6717,7034
20,0.6709,18041
20,0.6701,32779
20,0.6701,20782
20,0.6699,11336
20,0.6629,32528
20,0.6603,5885
20,0.6569,5784
20,0.6565,22922
20,0.6558,20618
20,0.655,34255
20,0.6515,8029
20,0.6512,31434
20,0.6505,5522
20,0.6488,21283
20,0.6453,39474
20,0.6453,24535
20,0.6452,39251
20,0.645,1998
20,0.6406,3491
20,0.6389,6867
20,0.6376,39992
20,0.6376,28361
20,0.6358,3073
20,0.6354,36648
20,0.6319,19840
20,0.6319,24182
20,0.6313,27116
20,0.6307,3330
20,0.6299,39875
20,0.6276,12698
20,0.627,23136
21,0.8067,38429
21,0.8037,31129
21,0.7917,1283
21,0.784,20679
21,0.7824,29535
21,0.7659,9341
21,0.7613,25605
21,0.7585,38292
21,0.756,28515
21,0.7552,27164
21,0.7538,5030
21,0.7528,10744
21,0.7456,31170
21,0.7396,30140
21,0.7389,21821
21,0.7358,39855
21,0.7323,34220
21,0.7323,3242
21,0.7303,25410
21,0.7299,29581
21,0.7294,35416
21,0.7292,3445
21,0.7271,37626
21,0.724,17385
21,0.724,40256
21,0.7222,21064
21,0.7222,29225
21,0.719,26053
21,0.7157,19339
21,0.7157,30939
21,0.7153,13981
21,0.7099,26920
21,0.7099,38259
21,0.7094,37817
21,0.7057,32432
21,0.7056,9554
21,0.7056,15038
21,0.7033,4422
21,0.7029,25350
21,0.702,24491
21,0.6991,36861
21,0.6979,32623
21,0.6966,15751
21,0.6955,4682
21,0.6936,36929
21,0.693,13181
21,0.6927,32572
21,0.6905,12015
21,0.6905,13688
21,0.6905,14649
22,0.8177,13121
22,0.7992,29791
22,0.7722,33567
22,0.7473,35675
22,0.7348,35714
22,0.7222,10715
22,0.7099,40075
22,0.7019,34960
22,0.6955,21793
22,0.6894,17452
22,0.6886,14887
22,0.6828,37053
22,0.6796,28149
22,0.6759,19571
22,0.6759,28531
22,0.6746,26316
22,0.6728,8474
22,0.6728,33514
22,0.6713,20646
22,0.6641,39954
22,0.6629,35960
22,0.6594,13562
22,0.6583,38696
22,0.6583,205
22,0.6576,38114
22,0.6569,14386
22,0.6569,29755
22,0.6542,35877
22,0.6493,32074
22,0.6488,14140
22,0.6467,28288
22,0.6439,31862
22,0.6414,31298
22,0.6404,16244
22,0.6394,5009
22,0.6389,37268
22,0.6361,10603
22,0.6358,31566
22,0.6354,7669
22,0.6354,23746
22,0.6354,38206
22,0.6341,31162
22,0.6319,22985
22,0.6318,20154
22,0.631,25647
22,0.6285,32959
22,0.6264,13526
22,0.6233,30091
22,0.6194,6116
22,0.6184,26777
23,0.8803,4735
23,0.8803,4918
23,0.8759,4869
23,0.8752,4753
23,0.8593,4651
23,0.7887,4585
23,0.7602,14159
23,0.7147,24538
23,0.7056,34685
23,0.6944,27883
23,0.6939,35217
23,0.6891,35105
