
Topic: 0
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"economic [0.0079401770200527]","business [0.00720923901316174]","artists [0.00771382932936058]","educational [0.00733980980159221]","projects [0.00746901284200092]","whitmire [0.00752538811200544]","federal [0.00626901629928081]","amount [0.00714099755446812]","kennedy [0.00731655338543318]","kennedy [0.0071104371354922]","region [0.00735289343025517]","state [0.00770899872716804]",
"performing [0.00773959335124032]","spa [0.00708792423297274]","challenge [0.00763000493657452]","federal [0.00724609845370551]","increased [0.00744561484863338]","directors [0.00718064185941305]","management [0.00615919882968472]","applications [0.00713353548897614]","mayor [0.00726497186938521]","state [0.00691304685158338]","staff [0.00726052783422637]","companies [0.00767896895313951]",
"budgets [0.00773058253861409]","trustees [0.00704081608984948]","corporate [0.00703601270310993]","income [0.00715738566454306]","tax [0.00736985270271632]","trustees [0.00716705882382588]","private [0.00590702814783003]","plan [0.00697766534967925]","philharmonic [0.00719234895802104]","fiscal [0.00679981969077195]","major [0.00725622096825965]","increase [0.00741096653690687]",
"agency [0.00752164405593602]","increased [0.00695775744911791]","smithsonian [0.00698170142895124]","agency [0.00715499655737513]","hotel [0.0073624975812619]","ms [0.0069732019671136]","performing [0.00588003340707317]","federal [0.00696465831731414]","announced [0.00700602362561615]","institution [0.00658496785328125]","artists [0.00724130684761689]","raise [0.00732388719221207]",
"royer [0.00747677382126071]","agency [0.0069215866522444]","received [0.00690765995431409]","we [0.00693452434691511]","kennedy [0.00736124207991842]","raising [0.00679775864177916]","attendance [0.00588003334036028]","report [0.00674131925476721]","minority [0.00696290364182973]","cuts [0.00646113931215596]","program [0.00719878714213294]","dollars [0.0070455727988943]",
"help [0.00722847429816522]","opera [0.0065885667129793]","cach [0.00689015351006001]","performing [0.00690342912541795]","agency [0.00732585676546938]","center [0.00668441548144723]","agencies [0.00587368037847245]","corporate [0.00663901249556467]","budgets [0.00682168803662871]","diverseworks [0.0063756090834937]","management [0.00715904361997692]","federal [0.00702936216036948]",
"museums [0.00707354446710658]","corporations [0.00646458349473527]","increase [0.00685649956271274]","minority [0.00677021538002333]","operating [0.00730505074081272]","receive [0.00664846093189774]","budgets [0.00586586952721573]","policy [0.00635932162451479]","artists [0.00679760961373568]","performing [0.00618760110007117]","awarded [0.00713950290049514]","total [0.00698759260213411]",
"expenses [0.00705666976812878]","stabilization [0.00641964193745636]","budgets [0.0068292361734426]","major [0.00673039957348606]","members [0.00690172399700655]","hotel [0.00661982096516406]","operating [0.00586397799937422]","announced [0.00628648889292522]","economic [0.00671808232549622]","challenge [0.00618420791470862]","local [0.00711823297981682]","city [0.0068358160813022]",
"study [0.00705057580059743]","raise [0.00629446149011666]","expenses [0.00681859816319648]","orchestra [0.00670371979157776]","mayor [0.0068683167283703]","performing [0.00660847013413199]","total [0.00582704603892607]","projects [0.00625493260750622]","resources [0.00657069863019546]","sector [0.00604313896482574]","faculty [0.00700604691319768]","agencies [0.00657541199735329]",
"county [0.00703377432947489]","member [0.00617257322900426]","artistic [0.00678188675872373]","corporate [0.00641301679582359]","major [0.00685892494038371]","commission [0.00643638387456996]","mayor [0.00568742262354568]","local [0.00625180158179233]","local [0.00655662825417273]","total [0.00591000894055718]","announced [0.0069990216859649]","individual [0.00652850820403396]",
