"doc","topic","docprop","source","year"
1904,5,0.128528528528529,"SETL",1992
1904,7,0.000600600600600601,"SETL",1992
1904,8,0.000600600600600601,"SETL",1992
1904,9,0.740540540540541,"SETL",1992
1904,11,0.00600600600600601,"SETL",1992
1905,3,0.0206185567010309,"SETL",1992
1905,10,0.979381443298969,"SETL",1992
1906,2,0.998699609882965,"SETL",1992
1906,5,0.000650195058517555,"SETL",1992
1906,11,0.000650195058517555,"SETL",1992
1907,1,0.00980392156862745,"SETL",1992
1907,2,0.00980392156862745,"SETL",1992
1907,5,0.0196078431372549,"SETL",1992
1907,7,0.92156862745098,"SETL",1992
1907,11,0.0392156862745098,"SETL",1992
1908,2,0.0154639175257732,"SETL",1992
1908,5,0.195876288659794,"SETL",1992
1908,6,0.00515463917525773,"SETL",1992
1908,8,0.474226804123711,"SETL",1992
1908,9,0.288659793814433,"SETL",1992
1908,11,0.0206185567010309,"SETL",1992
1909,1,0.0277777777777778,"SETL",1992
1909,6,0.00308641975308642,"SETL",1992
1909,7,0.87962962962963,"SETL",1992
1909,9,0.0462962962962963,"SETL",1992
1909,10,0.037037037037037,"SETL",1992
1909,11,0.00617283950617284,"SETL",1992
1910,1,0.00854700854700855,"SETL",1992
1910,2,0.00641025641025641,"SETL",1992
1910,5,0.222222222222222,"SETL",1992
1910,8,0.0192307692307692,"SETL",1992
1910,9,0.715811965811966,"SETL",1992
1910,11,0.0277777777777778,"SETL",1992
1911,0,0.00727272727272727,"SETL",1992
1911,2,0.0254545454545455,"SETL",1992
1911,3,0.0509090909090909,"SETL",1992
1911,4,0.861818181818182,"SETL",1992
1911,10,0.0218181818181818,"SETL",1992
1911,11,0.0327272727272727,"SETL",1992
1912,0,0.015990159901599,"SETL",1992
1912,2,0.771217712177122,"SETL",1992
1912,5,0.142681426814268,"SETL",1992
1912,9,0.0553505535055351,"SETL",1992
1912,11,0.014760147601476,"SETL",1992
1913,3,0.508474576271186,"SETL",1992
1913,4,0.477401129943503,"SETL",1992
1913,6,0.0112994350282486,"SETL",1992
1913,11,0.00282485875706215,"SETL",1992
1914,0,0.0877862595419847,"SETL",1992
1914,1,0.00190839694656489,"SETL",1992
1914,3,0.0324427480916031,"SETL",1992
1914,5,0.0209923664122137,"SETL",1992
1914,6,0.811068702290076,"SETL",1992
1914,8,0.0114503816793893,"SETL",1992
1914,11,0.0343511450381679,"SETL",1992
1915,0,0.782435129740519,"SETL",1992
1915,2,0.0239520958083832,"SETL",1992
1915,4,0.173652694610778,"SETL",1992
1915,10,0.00399201596806387,"SETL",1992
1915,11,0.0159680638722555,"SETL",1992
1916,1,0.353135313531353,"SETL",1992
1916,3,0.0033003300330033,"SETL",1992
1916,5,0.0198019801980198,"SETL",1992
1916,6,0.432343234323432,"SETL",1992
1916,7,0.151815181518152,"SETL",1992
1916,10,0.0066006600660066,"SETL",1992
1916,11,0.033003300330033,"SETL",1992
1917,4,0.716216216216216,"SETL",1992
1917,7,0.027027027027027,"SETL",1992
1917,10,0.256756756756757,"SETL",1992
1918,10,1,"SETL",1992
1919,1,0.0244444444444444,"SETL",1992
1919,2,0.0266666666666667,"SETL",1992
1919,5,0.515555555555556,"SETL",1992
1919,8,0.00444444444444444,"SETL",1992
1919,9,0.413333333333333,"SETL",1992
1919,11,0.0155555555555556,"SETL",1992
1920,3,0.0985915492957746,"SETL",1992
1920,4,0.901408450704225,"SETL",1992
1921,7,0.356132075471698,"SETL",1992
1921,9,0.0589622641509434,"SETL",1992
1921,10,0.554245283018868,"SETL",1992
1921,11,0.0306603773584906,"SETL",1992
1922,0,0.00738007380073801,"SETL",1992
1922,8,0.974169741697417,"SETL",1992
1922,11,0.018450184501845,"SETL",1992
1923,0,0.0466666666666667,"SETL",1992
1923,8,0.94,"SETL",1992
1923,11,0.0133333333333333,"SETL",1992
1924,4,0.25,"SETL",1992
1924,7,0.714285714285714,"SETL",1992
1924,11,0.0357142857142857,"SETL",1992
1925,7,0.0909090909090909,"SETL",1992
1925,9,0.00336700336700337,"SETL",1992
1925,10,0.892255892255892,"SETL",1992
1925,11,0.0134680134680135,"SETL",1992
1926,0,0.754385964912281,"SETL",1992
1926,3,0.0701754385964912,"SETL",1992
1926,4,0.0175438596491228,"SETL",1992
1926,10,0.157894736842105,"SETL",1992
1927,2,0.00319488817891374,"SETL",1992
1927,3,0.0830670926517572,"SETL",1992
1927,4,0.303514376996805,"SETL",1992
1927,6,0.501597444089457,"SETL",1992
1927,7,0.012779552715655,"SETL",1992
1927,10,0.00319488817891374,"SETL",1992
1927,11,0.0926517571884984,"SETL",1992
1928,3,0.0491803278688525,"SETL",1992
1928,4,0.950819672131147,"SETL",1992
1929,1,0.20414201183432,"SETL",1992
1929,2,0.0029585798816568,"SETL",1992
1929,4,0.0029585798816568,"SETL",1992
1929,5,0.0118343195266272,"SETL",1992
1929,7,0.130177514792899,"SETL",1992
1929,10,0.535502958579882,"SETL",1992
1929,11,0.112426035502959,"SETL",1992
